""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1699980"	1.14076748530923	2.20498292723122	8.5516283034627	6.55636514650058	5.59481786496167e-10	1.2411543951631e-05	NA	NA	NA
"ILMN_1796072"	-0.455508636206331	-1.371266173029	10.8079758224437	-5.94571496974397	1.39121120208203e-08	0.000104436060619972	NA	NA	NA
"ILMN_1815051"	-0.305203594020321	-1.23559299247468	11.2746516594674	-5.94276536137084	1.41231600189287e-08	0.000104436060619972	NA	NA	NA
"ILMN_1705261"	0.388503006974794	1.30903439703953	12.0305313052153	5.81108195754122	2.75280253036722e-08	0.000152670428334166	NA	NA	NA
"ILMN_1681678"	-0.738621823553135	-1.66858111657744	7.74297031078388	-5.64783923814854	6.21348419942929e-08	0.000242579851607471	NA	NA	NA
"ILMN_1663388"	0.499865210311795	1.41408143985572	12.0874241803793	5.57797717984797	8.76313280594294e-08	0.000242579851607471	NA	NA	NA
"ILMN_1682896"	-0.73339713765988	-1.66254931821513	8.59248287885785	-5.5606795591638	9.53772756876217e-08	0.000242579851607471	NA	NA	NA
"ILMN_1801421"	0.372433347327963	1.29453443990237	11.9235478124379	5.53935932704624	1.05847943971522e-07	0.000242579851607471	NA	NA	NA
"ILMN_1740010"	0.407993664821596	1.32683931415291	10.7624994185915	5.53554983919974	1.07833446150439e-07	0.000242579851607471	NA	NA	NA
"ILMN_1794588"	-0.568003077291501	-1.48247017193195	10.8032093325414	-5.53268777682302	1.09349013526628e-07	0.000242579851607471	NA	NA	NA
"ILMN_1743290"	0.900701206832225	1.86697318537353	12.1828983725298	5.46528964029311	1.51690465559395e-07	0.000305918298906329	NA	NA	NA
"ILMN_1803605"	0.562113305771798	1.47643035639124	6.56068656368554	5.4230569569869	1.85969643236755e-07	0.000330946230571819	NA	NA	NA
"ILMN_1799319"	0.366219050975435	1.28897032587802	8.75167098461641	5.41280741434661	1.95365513129419e-07	0.000330946230571819	NA	NA	NA
"ILMN_1687544"	-0.648521737294764	-1.56756116537684	6.69883003284521	-5.38992882229061	2.1803801703396e-07	0.000330946230571819	NA	NA	NA
"ILMN_1735273"	-0.509969298131942	-1.42401989083081	5.72414575322449	-5.37807292377639	2.3077560793565e-07	0.000330946230571819	NA	NA	NA
"ILMN_1749789"	0.616943132866452	1.53362220724533	5.93446716520628	5.36537617824835	2.45220234870015e-07	0.000330946230571819	NA	NA	NA
"ILMN_1670695"	-0.547708738326858	-1.4617623074981	8.61159067795642	-5.35833201380231	2.53610075717676e-07	0.000330946230571819	NA	NA	NA
"ILMN_1730658"	-0.322547613394435	-1.25053688714922	10.8618049228959	-5.34235651360192	2.7368665767717e-07	0.000337303600772796	NA	NA	NA
"ILMN_1792521"	0.634476999266907	1.55237488649955	10.2936363295281	5.28691186293752	3.56100848979439e-07	0.000404195519065888	NA	NA	NA
"ILMN_1652650"	0.856524791621315	1.8106714519096	8.91116651442575	5.27491493474211	3.76880587460365e-07	0.000404195519065888	NA	NA	NA
"ILMN_1733256"	0.451740619346918	1.36768938633269	10.0882960951828	5.27171316314765	3.82622876865472e-07	0.000404195519065888	NA	NA	NA
"ILMN_1701331"	0.29382236548464	1.22588391151941	11.3905466969277	5.25034845896424	4.23178360179534e-07	0.000412746921117862	NA	NA	NA
"ILMN_1756676"	0.439996026198989	1.35660059078256	7.78675108905429	5.24797735859	4.27929101411415e-07	0.000412746921117862	NA	NA	NA
"ILMN_1743583"	0.532022581910051	1.44595492730432	9.76727141660487	5.23258063515666	4.6006452384926e-07	0.000417654508958366	NA	NA	NA
"ILMN_1716360"	0.606740856225121	1.52281517979797	8.47801496715153	5.22772786488276	4.70670876485717e-07	0.000417654508958366	NA	NA	NA
"ILMN_1663699"	0.667657213912298	1.58849132788811	5.80076447924968	5.21287846427767	5.04624436873265e-07	0.00042146998870048	NA	NA	NA
"ILMN_1800855"	-0.342257435060964	-1.2677387176396	10.6616681130961	-5.20642859960278	5.20103417443414e-07	0.00042146998870048	NA	NA	NA
