""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1723542"	-0.529044782619482	-1.44297347742887	7.55300611917893	-5.89457755584418	1.80496697251135e-08	0.00017001946037508	NA	NA	NA
"ILMN_1731813"	-0.422723592682706	-1.34045574778292	8.59136554624702	-5.89207075863561	1.82808596978339e-08	0.00017001946037508	NA	NA	NA
"ILMN_1660079"	-0.227207893672942	-1.17056730913999	11.151715381077	-5.84679164450307	2.29921736893815e-08	0.00017001946037508	NA	NA	NA
"ILMN_1779522"	-0.328512737648134	-1.25571819756806	5.39454165467003	-5.59940142702256	7.88851198797134e-08	0.000386365071749203	NA	NA	NA
"ILMN_1758038"	-0.365395928473946	-1.28823512000436	8.0494171355424	-5.57926016414603	8.70819220494958e-08	0.000386365071749203	NA	NA	NA
"ILMN_1670752"	-0.374390289922928	-1.29629160164333	10.847048886446	-5.42323087700617	1.85814071759393e-07	0.000687016561318397	NA	NA	NA
"ILMN_1722076"	0.254379256322289	1.19282240080867	12.3555769268479	5.3105752375614	3.18331781448607e-07	0.00100883889137941	NA	NA	NA
"ILMN_1753468"	0.315168053287122	1.2441565712599	9.66578905196844	5.17691048627362	5.9703539849292e-07	0.00150333288161794	NA	NA	NA
"ILMN_1763605"	-0.409844634094264	-1.32854273371293	10.3290846309145	-5.17233898039879	6.09898843065336e-07	0.00150333288161794	NA	NA	NA
"ILMN_1683674"	0.372212180621507	1.29433600158671	6.24246085709827	5.04150699571489	1.11643992691049e-06	0.00193276075361289	NA	NA	NA
"ILMN_1787885"	0.308422655648915	1.23835302878814	9.71380830305825	5.03881100004089	1.13031028075489e-06	0.00193276075361289	NA	NA	NA
"ILMN_1781824"	-0.813880520030854	-1.75793352865563	7.63599324247665	-5.03520636792389	1.14911683272535e-06	0.00193276075361289	NA	NA	NA
"ILMN_1724907"	0.263756032197638	1.20060038207644	10.4047368259823	5.02292806897017	1.21548236678573e-06	0.00193276075361289	NA	NA	NA
"ILMN_1769550"	-0.489789836227348	-1.40424029893738	8.61352803802053	-5.00101372973525	1.34328503842271e-06	0.00193276075361289	NA	NA	NA
"ILMN_1652085"	-0.248697790352902	-1.18813419366846	10.2292895383196	-4.99989769076479	1.35013101564819e-06	0.00193276075361289	NA	NA	NA
"ILMN_1747771"	-0.195545220080019	-1.14515685394681	12.3580170306064	-4.98595186138391	1.43858232281124e-06	0.00193276075361289	NA	NA	NA
"ILMN_1724533"	0.393364528241786	1.31345295592178	11.1363197915026	4.97954020107423	1.48110948482777e-06	0.00193276075361289	NA	NA	NA
"ILMN_1775085"	-0.403627534653308	-1.32282987645769	6.93321869624423	-4.94142161861566	1.76025531188806e-06	0.00216941687994026	NA	NA	NA
"ILMN_1729976"	-0.300392663831126	-1.2314795442369	9.8565747192778	-4.92000571754669	1.93878887015493e-06	0.00226368906818511	NA	NA	NA
"ILMN_1698225"	0.273786933668819	1.2089771132591	9.62991705528623	4.90339829157826	2.08919082057635e-06	0.00231733045818329	NA	NA	NA
"ILMN_1791143"	0.501154401706765	1.41534562690879	6.3120358701302	4.86346920452706	2.49849552379182e-06	0.00260992689667231	NA	NA	NA
"ILMN_1721419"	-0.421426387684144	-1.33925101335447	6.10763996578612	-4.85556298720017	2.58827946839122e-06	0.00260992689667231	NA	NA	NA
"ILMN_1697529"	0.400964313355178	1.32039017931117	9.8196159711067	4.84425255118428	2.7221701594315e-06	0.00262559229638384	NA	NA	NA
"ILMN_1798543"	0.667927032197031	1.5887884413288	10.7565549640687	4.80583409649137	3.22886768037343e-06	0.00274261390385429	NA	NA	NA
"ILMN_1792990"	-0.45040940952726	-1.36642796811577	6.5717590632937	-4.79744006740299	3.35114205864931e-06	0.00274261390385429	NA	NA	NA
"ILMN_1773148"	-0.307141391616201	-1.23725373004486	8.01249999426904	-4.79675210377999	3.36135967339345e-06	0.00274261390385429	NA	NA	NA
"ILMN_1723158"	-0.273375409700919	-1.20863230573361	11.3797769269556	-4.78844057921278	3.48720734844416e-06	0.00274261390385429	NA	NA	NA
"ILMN_1757262"	-0.343232405117764	-1.2685957421625	7.44381991503305	-4.78253727185643	3.57934542945726e-06	0.00274261390385429	NA	NA	NA
"ILMN_1801488"	-0.309120537307853	-1.2389522080345	5.86351168562405	-4.78216223305066	3.58527782238435e-06	0.00274261390385429	NA	NA	NA
"ILMN_1751086"	0.335930895396906	1.26219157211595	9.0519389299438	4.76819272911735	3.81314657867469e-06	0.00281969479004398	NA	NA	NA
"ILMN_1670218"	0.421912541536131	1.33970238508055	9.90560492943084	4.7380065138788	4.35432969228347e-06	0.0031160145126973	NA	NA	NA
"ILMN_1701711"	-0.309102430866214	-1.23893665875039	9.24269341280843	-4.72385748847081	4.63285437368945e-06	0.00320959226187837	NA	NA	NA
"ILMN_1711763"	-0.290043780208717	-1.22267738065369	9.6427879157636	-4.71697624059605	4.774456574197e-06	0.00320959226187837	NA	NA	NA
"ILMN_1770692"	-0.228107405474073	-1.17129737848771	8.61948296355332	-4.69129492330484	5.34075694097243e-06	0.00348468682289801	NA	NA	NA
"ILMN_1748427"	-0.451681716534634	-1.36763354701507	6.79866047298614	-4.68432422364932	5.50532902006096e-06	0.0034894348280295	NA	NA	NA
"ILMN_1725620"	-0.199370585249246	-1.14819731356041	11.1913439471825	-4.67669751471857	5.69099543190351e-06	0.0035069178517041	NA	NA	NA
"ILMN_1689747"	-0.210694443698508	-1.15724509174287	11.0141164423659	-4.66206759142946	6.06420555980749e-06	0.00363590097672349	NA	NA	NA
"ILMN_1788024"	-0.209289334477579	-1.15611854447281	12.3895076912253	-4.63891079605738	6.70366094119536e-06	0.00391352669261784	NA	NA	NA
"ILMN_1806951"	-0.660962178772902	-1.5811367820935	7.451698611441	-4.62623080710572	7.08087477260201e-06	0.00395943278279039	NA	NA	NA
"ILMN_1671281"	-0.330637241530736	-1.25756872269775	9.56093460933238	-4.62432669433039	7.13925853370067e-06	0.00395943278279039	NA	NA	NA
"ILMN_1661599"	0.715567698293666	1.64212926585955	11.448395065991	4.5928688098033	8.17370201537096e-06	0.00425704700663251	NA	NA	NA
"ILMN_1745991"	-0.331711733754572	-1.25850568518264	8.36031697718155	-4.58876493196698	8.31886449326478e-06	0.00425704700663251	NA	NA	NA
"ILMN_1767142"	0.305160890419849	1.23555641961132	8.7301846966242	4.58148237997604	8.58260138351146e-06	0.00425704700663251	NA	NA	NA
"ILMN_1754223"	0.239859636482404	1.18087776520007	10.5108406568899	4.58144418096945	8.58400577123323e-06	0.00425704700663251	NA	NA	NA
"ILMN_1656011"	1.40714560491105	2.65211917389849	8.49575821570263	4.57384192736496	8.86795448485548e-06	0.00425704700663251	NA	NA	NA
"ILMN_1691272"	-0.233274477423235	-1.17549994983498	12.2786653805188	-4.56764256268959	9.10618272742933e-06	0.00425704700663251	NA	NA	NA
"ILMN_1739942"	-0.264754473393453	-1.20143156520459	12.103333512965	-4.56257121032563	9.30563725345784e-06	0.00425704700663251	NA	NA	NA
"ILMN_1708991"	0.231550538104639	1.17409613250963	10.3608807571533	4.5601599678359	9.40194036647449e-06	0.00425704700663251	NA	NA	NA
"ILMN_1800517"	-0.173863068382164	-1.12807506252395	5.19289723052067	-4.55761613503746	9.50457946072914e-06	0.00425704700663251	NA	NA	NA
"ILMN_1657868"	-0.437082760046791	-1.35386394108515	6.47511293584233	-4.55540040457034	9.59485892226945e-06	0.00425704700663251	NA	NA	NA
"ILMN_1789394"	0.275833632649579	1.21069346228984	8.45892357905792	4.55029686583931	9.80595450259689e-06	0.00426539793501195	NA	NA	NA
"ILMN_1761409"	-0.344259785906388	-1.26949946404081	6.34224633322766	-4.52714057139853	1.08212595013558e-05	0.00432519194283871	NA	NA	NA
"ILMN_1798360"	-0.450847546571859	-1.36684300636838	8.57700733691117	-4.52521321936328	1.09101845179169e-05	0.00432519194283871	NA	NA	NA
"ILMN_1734387"	0.771750459331805	1.7073400873396	6.30803493297054	4.52331643407713	1.0998385820731e-05	0.00432519194283871	NA	NA	NA
"ILMN_1712161"	-0.629937377686218	-1.54749782065096	6.67712614662175	-4.52126891448741	1.10943666443554e-05	0.00432519194283871	NA	NA	NA
"ILMN_1756779"	0.380231018377067	1.30155025565572	7.95600780013024	4.5139466222477	1.14442520192187e-05	0.00432519194283871	NA	NA	NA
"ILMN_1651316"	0.915162120530377	1.88578097152813	9.42188730852046	4.50614082856694	1.18289299002835e-05	0.00432519194283871	NA	NA	NA
"ILMN_1749287"	0.368759729666796	1.29124228541231	6.78936466745014	4.50364361409445	1.19546010696359e-05	0.00432519194283871	NA	NA	NA
"ILMN_1661695"	0.437290150723834	1.35405857607984	10.954702181834	4.50113878602042	1.20819455756537e-05	0.00432519194283871	NA	NA	NA
"ILMN_1658460"	0.354810633824435	1.27881771439859	10.5731192652976	4.50066826795438	1.21060117206374e-05	0.00432519194283871	NA	NA	NA
"ILMN_1685582"	-0.218888415305476	-1.16383651443214	5.09076369832333	-4.49943640755415	1.21692378179461e-05	0.00432519194283871	NA	NA	NA
"ILMN_1708041"	-0.464199582638147	-1.37955175601384	10.3607665230785	-4.49813554692127	1.22363502978199e-05	0.00432519194283871	NA	NA	NA
"ILMN_1767816"	0.267820736446319	1.20398776919998	8.49097034882253	4.49568363212756	1.23638160954651e-05	0.00432519194283871	NA	NA	NA
"ILMN_1660193"	-0.29636385354139	-1.22804536288418	10.1654192424367	-4.49350748705303	1.2478014981143e-05	0.00432519194283871	NA	NA	NA
"ILMN_1657519"	-0.211920901370821	-1.15822930222534	10.8113153863655	-4.48394258496393	1.29921034682241e-05	0.00441791784296328	NA	NA	NA
"ILMN_1713454"	-0.320114778486191	-1.24842986801368	9.67176382171021	-4.48118928829888	1.3143823369797e-05	0.00441791784296328	NA	NA	NA
"ILMN_1758750"	-0.324573025687902	-1.25229375987168	7.71575357690457	-4.46698396182258	1.39540791391154e-05	0.00455043691274197	NA	NA	NA
"ILMN_1725175"	0.278743169961807	1.21313757703944	8.3807907178077	4.46174715223021	1.42647299639452e-05	0.00455043691274197	NA	NA	NA
"ILMN_1659786"	-0.318925988927699	-1.2474015778655	10.029159931612	-4.45869588154751	1.44487881936203e-05	0.00455043691274197	NA	NA	NA
"ILMN_1717594"	0.568773680063328	1.4832622317546	8.94643998994808	4.45611809051653	1.46060628070396e-05	0.00455043691274197	NA	NA	NA
"ILMN_1730622"	-0.289154455872227	-1.22192391464234	14.8456368141668	-4.45557822991993	1.46392082729864e-05	0.00455043691274197	NA	NA	NA
"ILMN_1714093"	0.481109678380047	1.39581687463771	5.56998836890507	4.45347841938189	1.47688179641824e-05	0.00455043691274197	NA	NA	NA
"ILMN_1665414"	-0.244741549645037	-1.18488048753764	9.37475488472998	-4.43981289605808	1.56396650361949e-05	0.00475274423510887	NA	NA	NA
"ILMN_1749297"	-0.176344815363633	-1.130017265234	10.83956260655	-4.43141188095949	1.61993031753326e-05	0.00485628840056189	NA	NA	NA
"ILMN_1707312"	0.617872776425982	1.53461076090305	8.55333731759113	4.42681004405395	1.65139643762349e-05	0.00488461047629861	NA	NA	NA
"ILMN_1760982"	-0.305249353017715	-1.2356321832888	8.88227857128828	-4.39512335690146	1.88456310778981e-05	0.0054619455730677	NA	NA	NA
