""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1798308"	-0.384486764742085	-1.30539531326292	11.7322906541345	-4.71002339609195	4.92177326246374e-06	0.00642262459144091	NA	NA	NA
"ILMN_1753411"	-0.389890352845782	-1.31029381562681	8.99303842249034	-4.67214274117493	5.80474483008411e-06	0.00681380397687298	NA	NA	NA
"ILMN_1654465"	0.202978245172215	1.15107213383769	11.3282763631721	4.649738293412	6.39696468635359e-06	0.00681380397687298	NA	NA	NA
"ILMN_1688515"	-0.263146660891197	-1.20009337476452	9.13261921285634	-4.64814556854238	6.44121506349628e-06	0.00681380397687298	NA	NA	NA
"ILMN_1728779"	-0.176265005595714	-1.1299547545033	11.1532384746564	-4.64782564449969	6.45013899722018e-06	0.00681380397687298	NA	NA	NA
"ILMN_1714546"	0.337502512779418	1.26356730504992	12.182838454536	4.62514478297792	7.11411770782318e-06	0.00698318710310659	NA	NA	NA
"ILMN_1681679"	0.227401917546988	1.17072474593059	13.9948247231163	4.61113775065811	7.55658987019103e-06	0.00698318710310659	NA	NA	NA
"ILMN_1652989"	-0.232125410018979	-1.17456406881284	10.5071983582797	-4.60286372189935	7.83030274048391e-06	0.00698318710310659	NA	NA	NA
"ILMN_1741200"	-0.192438064329139	-1.14269316501938	11.5811928628338	-4.60169813520054	7.8696212395269e-06	0.00698318710310659	NA	NA	NA
"ILMN_1685796"	0.439131144508137	1.35578756560461	7.43548420777236	4.55505881889388	9.60885003108914e-06	0.00819856650344928	NA	NA	NA
"ILMN_1725471"	0.456590871294194	1.37229521179776	7.63153732039572	4.5453210455833	1.0016069472007e-05	0.00822949945062976	NA	NA	NA
"ILMN_1684497"	-0.357617853582939	-1.28130848145955	8.59760821386331	-4.53338773700122	1.05377958492391e-05	0.00834894511141143	NA	NA	NA
"ILMN_1725043"	-0.398031775656999	-1.31770897422753	6.64438834248031	-4.50567606506304	1.18522222115937e-05	0.00843674424531239	NA	NA	NA
"ILMN_1667748"	0.42877723619364	1.34609220568358	9.50942690239973	4.48197144486384	1.31005503372264e-05	0.00843674424531239	NA	NA	NA
"ILMN_1661631"	0.762938283401762	1.69694320885826	11.3198213962766	4.47898793543227	1.32663531464952e-05	0.00843674424531239	NA	NA	NA
"ILMN_1807737"	-0.296985324432892	-1.22857448291952	10.7341945224185	-4.47704167811015	1.3375598497313e-05	0.00843674424531239	NA	NA	NA
"ILMN_1655137"	-0.257850256030769	-1.19569568356785	10.5261626480635	-4.47164961607209	1.36827984644184e-05	0.00843674424531239	NA	NA	NA
"ILMN_1708267"	-0.452507567452079	-1.36841665413163	6.109242382224	-4.46967348520079	1.37970740014626e-05	0.00843674424531239	NA	NA	NA
"ILMN_1710863"	-0.247263179130973	-1.18695330415262	7.97494171677054	-4.44758639410256	1.51384180682697e-05	0.00843674424531239	NA	NA	NA
"ILMN_1700238"	-0.321303569046254	-1.24945900669585	9.2372895719058	-4.44437409480312	1.53436508444559e-05	0.00843674424531239	NA	NA	NA
"ILMN_1721419"	-0.375214157357961	-1.29703207513467	6.10763996578612	-4.44401126525088	1.5366999315989e-05	0.00843674424531239	NA	NA	NA
"ILMN_1653292"	0.333697169325471	1.26023883183772	10.8964307566492	4.44033775338055	1.56053252206101e-05	0.00843674424531239	NA	NA	NA
"ILMN_1790978"	0.307424445826415	1.2374965008488	10.1237659040239	4.43850332075197	1.5725663554831e-05	0.00843674424531239	NA	NA	NA
"ILMN_1766125"	-0.226888756005873	-1.17030839731606	10.5574109685724	-4.43439284571795	1.59985566906842e-05	0.00843674424531239	NA	NA	NA
"ILMN_1676302"	-0.329672408102848	-1.2567279776529	9.78381864704744	-4.42197765585843	1.68507094006987e-05	0.00843674424531239	NA	NA	NA
"ILMN_1726545"	0.559153921576228	1.47340487544892	8.22310430413617	4.42192448303858	1.68544511965254e-05	0.00843674424531239	NA	NA	NA
"ILMN_1660793"	0.329971832254987	1.25698883233824	8.38423723334619	4.42096747273973	1.69219331035154e-05	0.00843674424531239	NA	NA	NA
"ILMN_1681031"	-0.337046271849586	-1.26316777503141	9.53611209479857	-4.41190444981142	1.75739991456185e-05	0.00843674424531239	NA	NA	NA
"ILMN_1665414"	-0.236437145947541	-1.17807970130364	9.37475488472998	-4.40910802141956	1.77800233486708e-05	0.00843674424531239	NA	NA	NA
"ILMN_1676899"	-0.227690588245288	-1.17095902118172	9.8378340616302	-4.40846492157141	1.78277302149365e-05	0.00843674424531239	NA	NA	NA
"ILMN_1731745"	0.399816527795103	1.31934011534442	9.52206262870602	4.40339737585382	1.82079803255432e-05	0.00843674424531239	NA	NA	NA
"ILMN_1742133"	-0.195205272328516	-1.14488704804547	9.42621535310484	-4.39463385753241	1.88840195061004e-05	0.00843674424531239	NA	NA	NA
"ILMN_1814122"	-0.226630887932085	-1.17009923446835	10.81314891862	-4.3917051266373	1.91152754708694e-05	0.00843674424531239	NA	NA	NA
"ILMN_1699112"	-0.171395207163473	-1.12614703692486	11.7672472480831	-4.38973041291075	1.92727336077019e-05	0.00843674424531239	NA	NA	NA
"ILMN_1795428"	-0.222752873816601	-1.16695819080705	11.5292615237677	-4.38819915262963	1.93956886274311e-05	0.00843674424531239	NA	NA	NA
"ILMN_1660250"	-0.5023970480478	-1.4165652413669	6.55837800575696	-4.37521551644759	2.04689383657881e-05	0.00873236401358931	NA	NA	NA
"ILMN_1670695"	-0.347097106117072	-1.27199862060278	8.61159067795642	-4.35104896955021	2.26202638570173e-05	0.00946807421517116	NA	NA	NA
"ILMN_1815309"	-0.224503681617664	-1.16837523299503	10.4034923145512	-4.33303886017798	2.43629415917994e-05	0.0100086573383792	NA	NA	NA
"ILMN_1681888"	0.363744442628556	1.28676129166888	7.58922859763525	4.3239146745626	2.52942539945765e-05	0.0102023223748307	NA	NA	NA
"ILMN_1749109"	0.208506921521296	1.15549171977146	14.7986120882918	4.31276037081043	2.64792129885229e-05	0.0103226243268081	NA	NA	NA
"ILMN_1771411"	-0.212319566666189	-1.15854940426883	10.0133082252746	-4.30786551189909	2.70158506504119e-05	0.0103226243268081	NA	NA	NA
"ILMN_1787127"	0.373221833541959	1.29524214424224	9.35529948005139	4.30484085953664	2.73526479412676e-05	0.0103226243268081	NA	NA	NA
"ILMN_1749287"	0.342821115925373	1.26823413743116	6.78936466745014	4.30393952633261	2.74537881032129e-05	0.0103226243268081	NA	NA	NA
"ILMN_1664292"	-0.443307843322067	-1.35971834864889	5.94371861841873	-4.29486836923227	2.84918414741455e-05	0.0105343835210407	NA	NA	NA
"ILMN_1657868"	-0.400128771728345	-1.31962569235027	6.47511293584233	-4.28687409045088	2.9437759458128e-05	0.0105760169337476	NA	NA	NA
"ILMN_1747451"	-0.405904720192454	-1.32491951258913	9.84555716990155	-4.28166713807241	3.00699758442137e-05	0.0105760169337476	NA	NA	NA
"ILMN_1771791"	-0.326124447052786	-1.25364115501796	5.77479628965749	-4.27989078286533	3.02886180411385e-05	0.0105760169337476	NA	NA	NA
"ILMN_1706949"	0.150698869346368	1.11010709916165	12.3840521929719	4.2780933205463	3.05114083916267e-05	0.0105760169337476	NA	NA	NA
"ILMN_1769013"	0.377614016691182	1.2991914260672	11.8511516473427	4.27044957877598	3.14764876365894e-05	0.01074268310354	NA	NA	NA
"ILMN_1661755"	0.353249587151783	1.2774347370952	10.9692153711072	4.26132830648736	3.26664065225819e-05	0.0109798721560145	NA	NA	NA
"ILMN_1798021"	-0.262367757968193	-1.19944562598769	10.7806225239712	-4.2566889682487	3.32880464417014e-05	0.0110218212278015	NA	NA	NA
"ILMN_1654946"	-0.327325776230587	-1.25468549416505	10.9034082663572	-4.2518222033942	3.39523306239568e-05	0.0110764485670861	NA	NA	NA
"ILMN_1757882"	0.210656959159289	1.15721502424124	8.97941094961229	4.24174346437901	3.53686137524976e-05	0.011299492112167	NA	NA	NA
"ILMN_1813091"	-0.153258285620453	-1.11207823500652	9.70181979767404	-4.23975439729816	3.5654726282532e-05	0.011299492112167	NA	NA	NA
"ILMN_1699053"	-0.358306291379318	-1.2819200533166	5.70194052158604	-4.2293233946481	3.7191797155187e-05	0.0114642130897628	NA	NA	NA
"ILMN_1740265"	0.303705033903239	1.23431022029829	9.44434229780548	4.22921533025996	3.7208048253828e-05	0.0114642130897628	NA	NA	NA
"ILMN_1731596"	0.299398076989348	1.23063086088888	7.90977755215298	4.22285988848357	3.81758485367002e-05	0.0115149272690331	NA	NA	NA
"ILMN_1722076"	0.196703657904845	1.14607674742793	12.3555769268479	4.22134042591239	3.8410774337741e-05	0.0115149272690331	NA	NA	NA
"ILMN_1706397"	0.319638309869773	1.24801762605022	6.88382341052601	4.20771847003166	4.05795924851725e-05	0.011723396000584	NA	NA	NA
"ILMN_1737611"	-0.3122145772507	-1.24161214725826	11.1384785894245	-4.20638277974338	4.07984523085905e-05	0.011723396000584	NA	NA	NA
"ILMN_1651719"	-0.217143258993394	-1.16242953053676	11.5531318788891	-4.20511657132875	4.10069695912435e-05	0.011723396000584	NA	NA	NA
