""	"logFC"	"Fold Change"	"AveExpr"	"t"	"P.Value"	"adj.P.Val"	"Characteristics.disease.staging."	"Characteristics.organism.part."	"Assay.Name"
"ILMN_1813344"	0.510431419683364	1.42447610345355	9.79709285442156	5.18500374638334	5.74906030477568e-07	0.000190977647927992	NA	NA	NA
"ILMN_1752591"	-0.409055338158268	-1.32781608909585	11.7825011012726	-5.1843031579457	5.7678968676413e-07	0.000190977647927992	NA	NA	NA
"ILMN_1752582"	-0.244227595890133	-1.1844584542602	12.1205692333059	-5.17415446563492	6.0475845137319e-07	0.000193552345245254	NA	NA	NA
"ILMN_1811648"	0.386521557206891	1.30723775572309	10.8831620885333	5.17316914986577	6.07543041550024e-07	0.000193552345245254	NA	NA	NA
"ILMN_1813175"	-0.517390941809895	-1.43136433888877	8.15763462897561	-5.17204319008388	6.10740360943372e-07	0.000193552345245254	NA	NA	NA
"ILMN_1810712"	0.633556348149313	1.55138455956808	6.73379227609012	5.15490795869625	6.61464087034116e-07	0.000204267453864667	NA	NA	NA
"ILMN_1763012"	-0.481215559880751	-1.39591931944042	13.3379049480681	-5.15440682245951	6.6300752186879e-07	0.000204267453864667	NA	NA	NA
"ILMN_1755954"	0.350643891201045	1.27512960518094	9.13828029805688	5.14758394602055	6.84372441451208e-07	0.000204267453864667	NA	NA	NA
"ILMN_1751086"	0.438967947891645	1.35563420857267	9.0519389299438	5.14755051512077	6.84478754765696e-07	0.000204267453864667	NA	NA	NA
"ILMN_1712386"	-0.314647538802742	-1.24370776906208	8.01559940691096	-5.14563707830325	6.90590472405789e-07	0.000204267453864667	NA	NA	NA
"ILMN_1745962"	0.30600656266577	1.23628088461796	11.025469227529	5.13872682670345	7.13107136616453e-07	0.00020622951369597	NA	NA	NA
"ILMN_1776678"	-0.553809018386104	-1.46795629751348	13.6746516521663	-5.13785352216566	7.16003018194875e-07	0.00020622951369597	NA	NA	NA
"ILMN_1713266"	0.693662567680371	1.61738436203026	11.2254565881605	5.13512851340767	7.25112787066608e-07	0.00020622951369597	NA	NA	NA
"ILMN_1791388"	0.343553372060473	1.26887800735547	10.5137395651172	5.13122522003948	7.3835799416057e-07	0.000206706811524862	NA	NA	NA
"ILMN_1674243"	0.395398244441707	1.31530578975359	11.6128115528699	5.12916986871945	7.45426655336682e-07	0.000206706811524862	NA	NA	NA
"ILMN_1791576"	0.28436187624045	1.21787146331006	10.7824433822391	5.11369006914215	8.00817018966282e-07	0.000213855190299828	NA	NA	NA
"ILMN_1796454"	0.339016768202185	1.26489424392188	9.107789504257	5.11269559189519	8.04508979989679e-07	0.000213855190299828	NA	NA	NA
"ILMN_1726245"	-0.305378938936608	-1.23574317536872	12.0928587893492	-5.11253162684475	8.05119279530985e-07	0.000213855190299828	NA	NA	NA
"ILMN_1700207"	0.484910679472282	1.3994992167368	8.02477463214594	5.11128732345296	8.09765415848609e-07	0.000213855190299828	NA	NA	NA
"ILMN_1743966"	-0.620250019223427	-1.53714154502082	8.88447206247153	-5.09020018672804	8.92578373463743e-07	0.000232952454551996	NA	NA	NA
"ILMN_1785252"	0.509253126482541	1.4233131651849	10.0685956095133	5.07618070867701	9.52125351748014e-07	0.000240329960465161	NA	NA	NA
